Audit_ID,Department,Audit_Finding,Risk_Level,Audit_Date,Auditor_Name
60,IT,Control Weakness,Medium,2022-05-06,David Kim
61,IT,Control Weakness,Medium,2022-01-27,David Kim
62,Operations,Control Weakness,Low,2022-05-31,Carol Lee
63,Operations,Fraudulent Activity,Medium,2022-09-11,Alice Johnson
64,Marketing,Control Weakness,High,2022-01-24,David Kim
65,Operations,Fraudulent Activity,High,2022-04-22,Bob Smith
66,Marketing,Fraudulent Activity,Low,2022-08-08,Carol Lee
67,HR,Control Weakness,Low,2022-01-07,Bob Smith
68,IT,Non-compliance,High,2022-04-25,Bob Smith
69,Operations,Fraudulent Activity,Medium,2022-10-23,Carol Lee
70,IT,Non-compliance,Low,2022-10-23,Alice Johnson
71,HR,Control Weakness,High,2022-03-13,David Kim
72,HR,Control Weakness,Low,2022-10-06,Eva Brown
73,Operations,Fraudulent Activity,Low,2022-10-26,Eva Brown
74,IT,Control Weakness,High,2022-07-07,Carol Lee
75,HR,Control Weakness,Low,2022-02-09,David Kim
76,Marketing,Fraudulent Activity,Low,2022-03-26,Alice Johnson
77,IT,Non-compliance,Medium,2022-03-11,Eva Brown
78,Operations,Control Weakness,High,2022-02-23,Eva Brown
79,IT,Control Weakness,High,2022-03-25,Bob Smith
80,HR,Fraudulent Activity,Low,2022-03-01,Carol Lee
81,IT,Fraudulent Activity,Medium,2022-06-03,Carol Lee
82,Operations,Control Weakness,High,2022-04-20,David Kim
83,Operations,Non-compliance,Medium,2022-02-26,David Kim
84,HR,Fraudulent Activity,High,2022-07-01,Bob Smith
85,Operations,Control Weakness,Medium,2022-05-22,Alice Johnson
86,HR,Fraudulent Activity,High,2022-07-23,David Kim
87,Operations,Control Weakness,Low,2022-01-18,Alice Johnson
88,HR,Non-compliance,High,2022-04-14,David Kim
89,Operations,Non-compliance,Low,2022-01-07,Carol Lee
90,HR,Non-compliance,Low,2022-09-14,Carol Lee
91,Operations,Non-compliance,Medium,2022-08-23,Eva Brown
92,Operations,Control Weakness,High,2022-06-20,Bob Smith
93,Marketing,Non-compliance,High,2022-01-03,Eva Brown
94,Marketing,Fraudulent Activity,High,2022-05-09,Alice Johnson
95,IT,Non-compliance,Medium,2022-08-12,Carol Lee
96,IT,Control Weakness,Medium,2022-06-07,Carol Lee
97,Finance,Non-compliance,Low,2022-07-13,Carol Lee
98,HR,Non-compliance,Low,2022-05-19,Bob Smith
99,Operations,Control Weakness,Medium,2022-02-12,David Kim
100,Marketing,Control Weakness,Medium,2022-05-19,Bob Smith
101,Operations,Non-compliance,Low,2022-09-19,Carol Lee
102,IT,Fraudulent Activity,Medium,2022-12-11,Eva Brown
103,IT,Control Weakness,Low,2022-10-30,Alice Johnson
104,IT,Fraudulent Activity,Low,2022-06-28,David Kim
105,HR,Fraudulent Activity,Low,2022-04-16,Bob Smith
106,Finance,Fraudulent Activity,Low,2022-04-06,Carol Lee
107,Marketing,Non-compliance,Low,2022-11-24,David Kim
108,Marketing,Non-compliance,Medium,2022-01-04,Eva Brown
109,HR,Fraudulent Activity,High,2022-09-30,David Kim
110,Marketing,Fraudulent Activity,High,2022-06-23,Bob Smith
111,Finance,Non-compliance,Low,2022-03-25,Eva Brown
112,Finance,Non-compliance,Low,2022-03-14,Carol Lee
113,Marketing,Control Weakness,Low,2022-08-11,David Kim
114,Operations,Control Weakness,Medium,2022-07-22,Alice Johnson
115,Operations,Non-compliance,Medium,2022-11-28,Bob Smith
116,IT,Non-compliance,High,2022-07-08,Carol Lee
117,IT,Control Weakness,High,2022-04-29,Carol Lee
118,Operations,Non-compliance,Medium,2022-09-05,Bob Smith
119,HR,Non-compliance,Low,2022-06-25,Eva Brown
120,Operations,Fraudulent Activity,Low,2022-05-11,Eva Brown
121,Finance,Fraudulent Activity,Medium,2022-02-05,Bob Smith
122,Operations,Fraudulent Activity,Low,2022-12-26,Eva Brown
123,IT,Fraudulent Activity,High,2022-10-18,Bob Smith
124,Finance,Non-compliance,High,2022-01-02,Carol Lee
125,Finance,Non-compliance,High,2022-06-26,David Kim
126,HR,Fraudulent Activity,Medium,2022-11-17,Bob Smith
127,Operations,Fraudulent Activity,High,2022-06-02,Alice Johnson
128,Finance,Fraudulent Activity,Low,2022-06-18,Carol Lee
129,Finance,Non-compliance,Low,2022-10-15,Eva Brown
130,Finance,Non-compliance,Medium,2022-05-25,Carol Lee
131,Finance,Fraudulent Activity,Low,2022-12-20,David Kim
132,Operations,Non-compliance,Medium,2022-03-23,Carol Lee
133,Finance,Control Weakness,Low,2022-06-17,Alice Johnson
134,Operations,Fraudulent Activity,Medium,2022-05-07,Eva Brown
135,Finance,Non-compliance,High,2022-01-02,Carol Lee
136,HR,Control Weakness,Low,2022-03-24,Bob Smith
137,HR,Control Weakness,High,2022-05-23,Alice Johnson
138,HR,Control Weakness,Low,2022-09-13,Bob Smith
139,Operations,Non-compliance,High,2022-09-08,David Kim
140,Operations,Control Weakness,Medium,2022-08-08,Carol Lee
141,Marketing,Non-compliance,Low,2022-12-29,Eva Brown
142,HR,Non-compliance,High,2022-03-06,Carol Lee
143,Operations,Control Weakness,Low,2022-07-03,Eva Brown
144,Marketing,Control Weakness,Medium,2022-05-22,David Kim
145,Finance,Fraudulent Activity,Low,2022-03-08,Eva Brown
146,HR,Non-compliance,Medium,2022-03-19,Bob Smith
147,HR,Non-compliance,Medium,2022-07-20,David Kim
148,IT,Non-compliance,Low,2022-01-28,Bob Smith
149,HR,Fraudulent Activity,High,2022-11-07,Eva Brown
150,Operations,Non-compliance,Low,2022-12-17,David Kim
151,Finance,Non-compliance,High,2022-10-01,Carol Lee
152,Marketing,Non-compliance,Low,2022-03-29,David Kim
153,HR,Non-compliance,Low,2022-05-09,Eva Brown
154,Finance,Control Weakness,Medium,2022-01-14,Eva Brown
155,Finance,Non-compliance,Low,2022-10-18,Carol Lee
156,Operations,Non-compliance,High,2022-12-16,David Kim
157,IT,Control Weakness,Low,2022-08-02,Bob Smith
158,Finance,Control Weakness,High,2022-03-03,Alice Johnson
159,Operations,Fraudulent Activity,Low,2022-08-21,Carol Lee
160,IT,Fraudulent Activity,Medium,2022-09-26,Eva Brown
161,HR,Control Weakness,Low,2022-04-03,Bob Smith
162,Operations,Control Weakness,High,2022-12-13,Alice Johnson
163,IT,Non-compliance,Low,2022-04-15,Alice Johnson
164,HR,Fraudulent Activity,Medium,2022-03-28,David Kim
165,HR,Fraudulent Activity,High,2022-01-30,David Kim
166,Operations,Fraudulent Activity,Low,2022-12-26,David Kim
167,IT,Fraudulent Activity,Low,2022-08-02,Alice Johnson
168,IT,Fraudulent Activity,High,2022-03-19,Alice Johnson
169,Marketing,Fraudulent Activity,Medium,2022-10-07,Bob Smith
170,IT,Fraudulent Activity,High,2022-03-27,Alice Johnson
171,Marketing,Fraudulent Activity,High,2022-09-23,Bob Smith
172,Marketing,Control Weakness,Medium,2022-12-16,Bob Smith
173,IT,Non-compliance,Low,2022-10-23,Eva Brown
174,Operations,Non-compliance,High,2022-06-23,Bob Smith
175,HR,Non-compliance,Medium,2022-02-28,Alice Johnson
176,Finance,Non-compliance,Medium,2022-03-24,David Kim
177,Operations,Control Weakness,Medium,2022-05-13,David Kim
178,HR,Fraudulent Activity,Low,2022-02-17,Alice Johnson
179,HR,Control Weakness,Medium,2022-09-26,Eva Brown
180,IT,Fraudulent Activity,High,2022-11-12,Alice Johnson
181,HR,Non-compliance,Medium,2022-10-15,Carol Lee
182,HR,Control Weakness,Medium,2022-02-27,Alice Johnson
183,IT,Fraudulent Activity,High,2022-04-21,Eva Brown
184,Finance,Control Weakness,Medium,2022-01-17,Bob Smith
185,Operations,Control Weakness,High,2022-05-26,Alice Johnson
186,IT,Non-compliance,High,2022-09-22,Carol Lee
187,IT,Fraudulent Activity,Medium,2022-06-12,Eva Brown
188,Marketing,Control Weakness,Low,2022-08-31,David Kim
189,Marketing,Control Weakness,High,2022-06-27,Carol Lee
190,HR,Fraudulent Activity,High,2022-11-01,Alice Johnson
191,IT,Fraudulent Activity,Medium,2022-01-04,Bob Smith
192,Finance,Non-compliance,Low,2022-11-26,David Kim
193,HR,Control Weakness,High,2022-06-20,Alice Johnson
194,Marketing,Control Weakness,Low,2022-03-03,Bob Smith
195,HR,Fraudulent Activity,Low,2022-06-22,Alice Johnson
196,Finance,Fraudulent Activity,Low,2022-06-02,Carol Lee
197,HR,Control Weakness,Low,2022-11-01,Carol Lee
198,HR,Non-compliance,Medium,2022-09-28,Bob Smith
199,IT,Fraudulent Activity,Medium,2022-11-15,David Kim
200,IT,Non-compliance,High,2022-10-20,Carol Lee
201,Finance,Control Weakness,High,2022-04-12,Bob Smith
202,IT,Control Weakness,Medium,2022-09-12,David Kim
203,Operations,Control Weakness,Low,2022-03-29,Carol Lee
204,Finance,Control Weakness,Low,2022-05-18,Eva Brown
205,Operations,Non-compliance,High,2022-03-27,Carol Lee
206,Operations,Fraudulent Activity,High,2022-12-07,Alice Johnson
207,IT,Non-compliance,High,2022-07-27,Bob Smith
208,IT,Fraudulent Activity,Medium,2022-04-02,Eva Brown
209,Marketing,Control Weakness,High,2022-09-28,Carol Lee
210,IT,Fraudulent Activity,Medium,2022-09-27,Alice Johnson
211,Operations,Control Weakness,Low,2022-10-17,Eva Brown
212,Operations,Fraudulent Activity,Low,2022-06-28,Bob Smith
213,Finance,Control Weakness,High,2022-08-22,Alice Johnson
214,Marketing,Fraudulent Activity,Medium,2022-04-10,Carol Lee
215,HR,Fraudulent Activity,High,2022-10-27,Carol Lee
216,Marketing,Fraudulent Activity,Low,2022-12-04,Alice Johnson
217,Finance,Fraudulent Activity,Low,2022-02-23,David Kim
218,IT,Fraudulent Activity,Medium,2022-12-28,Bob Smith
219,HR,Control Weakness,Medium,2022-10-07,David Kim
220,IT,Control Weakness,Medium,2022-10-03,Alice Johnson
221,Finance,Control Weakness,High,2022-08-14,David Kim
222,Operations,Fraudulent Activity,Low,2022-07-21,David Kim
223,IT,Control Weakness,Low,2022-06-22,Carol Lee
224,Finance,Control Weakness,Medium,2022-11-03,Alice Johnson
225,IT,Control Weakness,High,2022-03-12,Carol Lee
226,Marketing,Fraudulent Activity,Medium,2022-11-26,David Kim
227,Finance,Fraudulent Activity,Medium,2022-04-11,Eva Brown
228,Finance,Fraudulent Activity,High,2022-05-04,David Kim
229,HR,Fraudulent Activity,Low,2022-12-11,Bob Smith
230,IT,Control Weakness,Low,2022-12-28,Alice Johnson
231,IT,Fraudulent Activity,High,2022-05-14,David Kim
232,IT,Non-compliance,High,2022-01-02,Carol Lee
233,IT,Non-compliance,Medium,2022-07-31,Carol Lee
234,Operations,Control Weakness,Low,2022-02-03,Alice Johnson
235,Marketing,Fraudulent Activity,Medium,2022-10-20,Carol Lee
236,IT,Non-compliance,High,2022-02-17,David Kim
237,IT,Control Weakness,High,2022-03-30,Alice Johnson
238,Operations,Fraudulent Activity,High,2022-04-10,Eva Brown
239,HR,Fraudulent Activity,Low,2022-12-08,David Kim
240,Finance,Fraudulent Activity,High,2022-06-29,David Kim
241,Finance,Fraudulent Activity,Medium,2022-02-18,Alice Johnson
242,Operations,Fraudulent Activity,Low,2022-10-15,Alice Johnson
243,IT,Non-compliance,Low,2022-05-04,Bob Smith
244,HR,Control Weakness,High,2022-02-24,Alice Johnson
245,HR,Fraudulent Activity,Medium,2022-09-21,Eva Brown
246,Finance,Non-compliance,Low,2022-03-21,Eva Brown
247,HR,Fraudulent Activity,High,2022-12-26,Carol Lee
248,IT,Fraudulent Activity,Low,2022-11-12,Carol Lee
249,Operations,Control Weakness,Low,2022-05-18,Eva Brown
250,HR,Control Weakness,High,2022-12-02,David Kim
251,Operations,Non-compliance,High,2022-09-01,Carol Lee
252,HR,Fraudulent Activity,High,2022-12-16,Alice Johnson
253,Finance,Control Weakness,Low,2022-05-16,Carol Lee
254,Operations,Non-compliance,Low,2022-04-30,Bob Smith
255,Operations,Fraudulent Activity,Medium,2022-09-02,David Kim
256,HR,Control Weakness,High,2022-11-18,Carol Lee
257,Operations,Fraudulent Activity,Medium,2022-10-24,Bob Smith
258,IT,Control Weakness,Low,2022-05-12,David Kim
259,Operations,Control Weakness,Low,2022-10-31,Alice Johnson
260,HR,Control Weakness,Medium,2022-11-21,Carol Lee
261,Finance,Fraudulent Activity,High,2022-11-11,David Kim
262,Finance,Non-compliance,Low,2022-12-07,Alice Johnson
263,Operations,Fraudulent Activity,Medium,2022-05-15,David Kim
264,Finance,Non-compliance,High,2022-06-18,Bob Smith
265,HR,Fraudulent Activity,High,2022-12-07,Bob Smith
266,Marketing,Fraudulent Activity,Medium,2022-05-21,Alice Johnson
267,Operations,Fraudulent Activity,Medium,2022-11-16,David Kim
268,IT,Non-compliance,Medium,2022-09-23,Bob Smith
269,Marketing,Non-compliance,Medium,2022-11-13,Eva Brown
270,HR,Non-compliance,Low,2022-09-16,David Kim
271,Finance,Fraudulent Activity,Medium,2022-05-31,David Kim
272,IT,Fraudulent Activity,High,2022-04-04,Carol Lee
273,HR,Non-compliance,Medium,2022-02-26,David Kim
274,IT,Fraudulent Activity,High,2022-06-22,Carol Lee
275,HR,Fraudulent Activity,Low,2022-07-13,Bob Smith
276,HR,Non-compliance,Medium,2022-07-25,Alice Johnson
277,Marketing,Non-compliance,High,2022-03-19,David Kim
278,Marketing,Control Weakness,Medium,2022-01-19,Bob Smith
279,Finance,Control Weakness,High,2022-02-25,Alice Johnson
280,HR,Fraudulent Activity,High,2022-07-12,Alice Johnson
281,Finance,Fraudulent Activity,Medium,2022-03-06,Alice Johnson
282,Marketing,Fraudulent Activity,Low,2022-09-12,Carol Lee
283,HR,Fraudulent Activity,High,2022-09-28,Bob Smith
284,Finance,Non-compliance,High,2022-06-11,Alice Johnson
285,Operations,Control Weakness,High,2022-04-11,Eva Brown
286,Operations,Fraudulent Activity,Medium,2022-09-22,Bob Smith
287,Marketing,Non-compliance,High,2022-07-11,Eva Brown
288,HR,Control Weakness,Medium,2022-01-05,David Kim
289,Operations,Fraudulent Activity,Medium,2022-07-20,Bob Smith
290,Marketing,Fraudulent Activity,Medium,2022-03-17,Carol Lee
291,Operations,Fraudulent Activity,Medium,2022-02-03,David Kim
292,Operations,Control Weakness,Medium,2022-06-11,Bob Smith
293,Finance,Control Weakness,High,2022-09-29,David Kim
294,HR,Control Weakness,Low,2022-03-06,David Kim
295,HR,Non-compliance,High,2022-04-02,Eva Brown
296,Operations,Control Weakness,High,2022-11-06,Carol Lee
297,Finance,Control Weakness,High,2022-09-24,Carol Lee
298,IT,Non-compliance,High,2022-11-23,Eva Brown
299,Operations,Control Weakness,High,2022-12-15,Bob Smith
300,Marketing,Fraudulent Activity,Medium,2022-10-21,Alice Johnson
301,HR,Fraudulent Activity,Low,2022-09-24,David Kim
302,Finance,Control Weakness,Low,2022-04-07,Alice Johnson
303,Operations,Non-compliance,Medium,2022-10-14,Alice Johnson
304,Operations,Fraudulent Activity,High,2022-05-31,Carol Lee
305,Marketing,Non-compliance,High,2022-12-27,Eva Brown
306,IT,Fraudulent Activity,Medium,2022-01-02,Eva Brown
307,Finance,Fraudulent Activity,Low,2022-05-08,Eva Brown
308,HR,Fraudulent Activity,Medium,2022-11-04,David Kim
309,HR,Fraudulent Activity,Low,2022-05-01,David Kim
310,IT,Non-compliance,Medium,2022-01-14,Carol Lee
311,Marketing,Non-compliance,High,2022-02-22,Bob Smith
312,HR,Fraudulent Activity,High,2022-10-12,Eva Brown
313,Operations,Control Weakness,High,2022-11-23,Eva Brown
314,HR,Non-compliance,Medium,2022-09-29,Eva Brown
315,Finance,Fraudulent Activity,High,2022-02-17,David Kim
316,Marketing,Non-compliance,Low,2022-11-12,Alice Johnson
317,Marketing,Control Weakness,Low,2022-12-05,Alice Johnson
318,IT,Fraudulent Activity,Medium,2022-03-03,Carol Lee
319,Finance,Non-compliance,High,2022-06-30,Bob Smith
320,HR,Control Weakness,Medium,2022-09-13,Alice Johnson
321,IT,Fraudulent Activity,Low,2022-10-13,Alice Johnson
322,Finance,Control Weakness,Medium,2022-05-17,David Kim
323,HR,Fraudulent Activity,High,2022-11-23,Bob Smith
324,Operations,Fraudulent Activity,High,2022-10-21,Bob Smith
325,Marketing,Non-compliance,Low,2022-04-25,Eva Brown
326,Finance,Control Weakness,Medium,2022-04-21,David Kim
327,Marketing,Fraudulent Activity,High,2022-04-23,Bob Smith
328,IT,Non-compliance,High,2022-03-12,Carol Lee
329,HR,Non-compliance,High,2022-03-03,Eva Brown
330,Operations,Non-compliance,High,2022-05-29,Eva Brown
331,Marketing,Control Weakness,Medium,2022-12-28,David Kim
332,Marketing,Fraudulent Activity,High,2022-11-02,Bob Smith
333,Marketing,Fraudulent Activity,Medium,2022-08-15,Carol Lee
334,Finance,Control Weakness,Low,2022-07-12,Bob Smith
335,Operations,Fraudulent Activity,Low,2022-03-01,Eva Brown
336,Marketing,Non-compliance,Medium,2022-12-11,Alice Johnson
337,Finance,Fraudulent Activity,High,2022-07-19,Alice Johnson
338,HR,Fraudulent Activity,Medium,2022-05-22,Alice Johnson
339,HR,Fraudulent Activity,Medium,2022-03-22,Carol Lee
340,Operations,Control Weakness,High,2022-07-22,Carol Lee
341,Operations,Control Weakness,Medium,2022-04-09,Alice Johnson
342,HR,Fraudulent Activity,Low,2022-01-27,Carol Lee
343,Marketing,Control Weakness,High,2022-09-20,David Kim
344,IT,Non-compliance,High,2022-07-08,David Kim
345,Operations,Fraudulent Activity,Medium,2022-05-15,Bob Smith
346,Marketing,Fraudulent Activity,Low,2022-02-23,Eva Brown
347,IT,Non-compliance,High,2022-05-01,Carol Lee
348,Finance,Control Weakness,Low,2022-02-27,Bob Smith
349,Marketing,Control Weakness,High,2022-12-08,David Kim
350,Operations,Control Weakness,High,2022-05-28,Bob Smith
351,Finance,Control Weakness,High,2022-01-14,Carol Lee
352,Marketing,Non-compliance,High,2022-08-13,Bob Smith
353,Operations,Fraudulent Activity,High,2022-07-08,Bob Smith
354,IT,Non-compliance,High,2022-07-02,Carol Lee
355,HR,Control Weakness,Low,2022-08-04,Eva Brown
356,Operations,Control Weakness,Medium,2022-01-16,Eva Brown
357,Marketing,Control Weakness,High,2022-01-01,Eva Brown
358,HR,Control Weakness,Medium,2022-10-10,Alice Johnson
359,Operations,Fraudulent Activity,Medium,2022-06-22,Carol Lee
360,Operations,Fraudulent Activity,Medium,2022-10-17,Bob Smith
361,Marketing,Control Weakness,High,2022-02-01,Alice Johnson
362,HR,Control Weakness,Medium,2022-03-09,Carol Lee
363,IT,Fraudulent Activity,Medium,2022-10-08,David Kim
364,Marketing,Non-compliance,High,2022-07-16,Eva Brown
365,HR,Control Weakness,Medium,2022-08-18,Bob Smith
366,Finance,Control Weakness,Medium,2022-03-16,David Kim
367,HR,Control Weakness,Medium,2022-09-13,David Kim
368,Finance,Control Weakness,Medium,2022-07-20,Eva Brown
369,Marketing,Control Weakness,Medium,2022-07-11,David Kim
370,Finance,Control Weakness,Low,2022-11-05,Eva Brown
371,IT,Fraudulent Activity,High,2022-05-04,David Kim
372,Finance,Fraudulent Activity,High,2022-12-11,Alice Johnson
373,Operations,Control Weakness,Low,2022-07-16,Eva Brown
374,HR,Fraudulent Activity,High,2022-03-21,Bob Smith
375,Finance,Non-compliance,High,2022-10-05,Carol Lee
376,HR,Fraudulent Activity,High,2022-11-09,Bob Smith
377,Operations,Non-compliance,High,2022-04-15,Bob Smith
378,Finance,Non-compliance,Low,2022-08-13,Bob Smith
379,IT,Control Weakness,Low,2022-12-29,Bob Smith
380,Operations,Control Weakness,High,2022-07-07,Alice Johnson
381,Marketing,Fraudulent Activity,Medium,2022-01-24,David Kim
382,IT,Fraudulent Activity,Low,2022-03-10,David Kim
383,HR,Fraudulent Activity,Medium,2022-05-22,Alice Johnson
384,Operations,Control Weakness,High,2022-02-18,Bob Smith
385,Finance,Fraudulent Activity,Medium,2022-10-29,David Kim
386,HR,Fraudulent Activity,Low,2022-04-21,Eva Brown
387,HR,Fraudulent Activity,High,2022-02-23,Alice Johnson
388,Marketing,Control Weakness,Low,2022-08-20,Alice Johnson
389,Finance,Control Weakness,High,2022-02-17,Bob Smith
390,Operations,Control Weakness,Low,2022-10-07,Alice Johnson
391,Marketing,Non-compliance,Medium,2022-01-27,Eva Brown
392,Finance,Fraudulent Activity,Medium,2022-10-29,David Kim
393,Finance,Fraudulent Activity,High,2022-05-18,Bob Smith
394,Operations,Non-compliance,High,2022-02-16,Carol Lee
395,Finance,Non-compliance,Low,2022-05-17,Bob Smith
396,IT,Non-compliance,Medium,2022-10-15,Eva Brown
397,IT,Non-compliance,Low,2022-08-19,David Kim
398,HR,Non-compliance,High,2022-05-04,David Kim
399,HR,Control Weakness,High,2022-08-19,Alice Johnson
400,HR,Fraudulent Activity,High,2022-07-24,Bob Smith
401,Operations,Fraudulent Activity,Medium,2022-08-18,Alice Johnson
402,Operations,Fraudulent Activity,High,2022-12-12,Carol Lee
403,Finance,Non-compliance,Medium,2022-05-15,Carol Lee
404,Finance,Control Weakness,Low,2022-07-12,David Kim
405,Operations,Control Weakness,High,2022-05-27,Carol Lee
406,Marketing,Fraudulent Activity,Low,2022-10-18,Alice Johnson
407,HR,Fraudulent Activity,Low,2022-09-19,Bob Smith
408,Finance,Control Weakness,High,2022-03-16,Bob Smith
409,Finance,Fraudulent Activity,High,2022-11-22,Bob Smith
410,Operations,Control Weakness,Medium,2022-10-31,David Kim
411,Operations,Non-compliance,Low,2022-07-17,Bob Smith
412,HR,Non-compliance,Low,2022-12-19,David Kim
413,Finance,Fraudulent Activity,High,2022-09-20,Bob Smith
414,HR,Fraudulent Activity,High,2022-05-13,Carol Lee
415,Finance,Non-compliance,Medium,2022-01-04,Eva Brown
416,Finance,Control Weakness,Low,2022-11-08,David Kim
417,Operations,Fraudulent Activity,Medium,2022-02-12,David Kim
418,Marketing,Fraudulent Activity,Medium,2022-04-20,Alice Johnson
419,Marketing,Control Weakness,Low,2022-03-30,Carol Lee
420,HR,Non-compliance,Medium,2022-02-18,Eva Brown
421,Finance,Control Weakness,Low,2022-08-05,Bob Smith
422,Finance,Non-compliance,Medium,2022-06-28,Bob Smith
423,Operations,Control Weakness,Medium,2022-12-14,Eva Brown
424,Marketing,Fraudulent Activity,Medium,2022-01-07,Carol Lee
425,Marketing,Non-compliance,Medium,2022-11-09,Eva Brown
426,Operations,Non-compliance,High,2022-02-19,Eva Brown
427,Marketing,Non-compliance,High,2022-10-27,Carol Lee
428,Finance,Control Weakness,Medium,2022-10-18,Alice Johnson
429,IT,Non-compliance,High,2022-09-20,Bob Smith
430,Operations,Fraudulent Activity,Medium,2022-11-17,Carol Lee
431,Finance,Fraudulent Activity,Low,2022-08-15,Alice Johnson
432,Marketing,Fraudulent Activity,Medium,2022-12-15,Eva Brown
433,HR,Control Weakness,Low,2022-03-18,Carol Lee
434,Operations,Non-compliance,Low,2022-11-12,Bob Smith
435,Finance,Fraudulent Activity,Medium,2022-02-20,Bob Smith
436,IT,Fraudulent Activity,High,2022-01-17,Bob Smith
437,Marketing,Control Weakness,High,2022-10-31,David Kim
438,Marketing,Non-compliance,Medium,2022-12-01,Bob Smith
439,HR,Fraudulent Activity,High,2022-12-04,Bob Smith
440,IT,Non-compliance,Low,2022-08-22,David Kim
441,HR,Control Weakness,Medium,2022-04-26,Eva Brown
442,HR,Fraudulent Activity,High,2022-10-31,David Kim
443,Finance,Non-compliance,Low,2022-08-29,Carol Lee
444,IT,Control Weakness,High,2022-06-22,David Kim
445,Operations,Control Weakness,High,2022-05-26,Carol Lee
446,Operations,Control Weakness,Low,2022-07-30,Alice Johnson
447,Finance,Fraudulent Activity,Medium,2022-10-01,David Kim
448,Finance,Non-compliance,Medium,2022-08-09,David Kim
449,Finance,Control Weakness,High,2022-04-08,David Kim
450,IT,Fraudulent Activity,High,2022-06-11,Bob Smith
451,Marketing,Non-compliance,High,2022-08-16,Bob Smith
452,Operations,Non-compliance,Low,2022-04-28,David Kim
453,HR,Fraudulent Activity,High,2022-04-05,Carol Lee
454,Finance,Control Weakness,Medium,2022-05-09,David Kim
455,HR,Fraudulent Activity,Medium,2022-04-15,Alice Johnson
